fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,year,month,day,day_of_week,time_bin,trip_distance
7.5,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1,2015,5,7,Thursday,Evening,1.0460327698576681
7.7,-73.994355,40.728225,-73.99471,40.750325,1,2009,7,17,Friday,Evening,1.527169730008051
12.9,-74.005043,40.74077,-73.962565,40.772647,1,2009,8,24,Monday,Evening,3.1296526912842584
5.3,-73.976124,40.790844,-73.965316,40.803349,3,2009,6,26,Friday,Morning,1.03258590675648
4.9,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1,2011,2,12,Saturday,Late Night,0.0
9.7,-73.975187,40.745767,-74.00272,40.743537,1,2012,2,17,Friday,Morning,1.4495688096024744
12.5,-74.001065,40.741787,-73.96304,40.775012,1,2012,3,29,Thursday,Evening,3.0383301616712326
6.5,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1,2015,5,22,Friday,Afternoon,1.398704336045205
3.3,-73.966378,40.80444,-73.96589,40.807133,5,2011,5,17,Tuesday,Midday,0.18782207723182814
10.9,-73.953352,40.767382,-73.97251,40.796137,1,2011,6,25,Saturday,Midday,2.225423328455998
6.9,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1,2010,4,6,Tuesday,Night,0.8140153279151014
9.7,-73.990718,40.75192,-73.97305300000001,40.74423,2,2012,2,21,Tuesday,Morning,1.0665111147895465
4.9,-73.988908,40.756982,-73.981246,40.76005,1,2011,9,1,Thursday,Morning,0.4536075353321749
10.5,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2,2011,3,19,Saturday,Night,1.563435306156587
12.0,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1,2015,3,25,Wednesday,Morning,1.1125214132457275
4.9,-73.992075,40.719633,-73.985323,40.727405,1,2009,8,8,Saturday,Late Night,0.6429746656885668
10.5,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1,2014,2,18,Tuesday,Midday,1.5474611600341084
5.0,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2,2015,3,3,Tuesday,Night,0.5962230754220762
4.1,-74.010798,40.726085,-74.00976700000001,40.737402,2,2009,11,26,Thursday,Late Night,0.7838385168945352
7.7,-73.9943,40.739512,-73.98807,40.724482,2,2010,9,4,Saturday,Afternoon,1.0885619310106598
12.9,-73.972987,40.76404,-74.00782,40.714993,5,2010,5,12,Wednesday,Night,3.8485357266095632
9.5,-73.986059,40.757159,-73.97613,40.780589,1,2009,2,12,Thursday,Afternoon,1.7002937494450077
5.0,-73.957802,40.776371999999995,-73.957422,40.78287,1,2014,1,21,Tuesday,Morning,0.44943611558600544
12.0,-73.993909,40.741551,-73.987874,40.770232,1,2012,11,21,Wednesday,Afternoon,2.0068041602245748
4.9,-73.97778000000001,40.763656,-73.989486,40.772966,1,2009,5,6,Wednesday,Evening,0.8883144183703109
7.3,-73.971075,40.787833,-73.94495699999999,40.784302,5,2011,12,24,Saturday,Late Night,1.38804008156679
7.7,-74.004184,40.712975,-73.988385,40.725102,1,2009,2,28,Saturday,Afternoon,1.1775999473918024
10.5,-73.982085,40.771387,-73.95961,40.769445000000005,1,2013,2,11,Monday,Evening,1.1837433048273978
11.0,-73.991186,40.741393,-74.00971,40.716455,2,2013,9,10,Tuesday,Evening,1.9773955525473432
8.1,-73.98869,40.751273,-73.95881,40.764643,3,2009,6,5,Friday,Late Night,1.8163922147160474
5.7,-74.010863,40.710813,-74.001205,40.718745,1,2011,2,19,Saturday,Afternoon,0.7458232675266364
6.9,-73.96869699999999,40.754998,-73.987302,40.73594,1,2011,8,31,Wednesday,Evening,1.6379032166009289
7.7,-73.96837,40.759005,-73.979105,40.77757,3,2010,5,18,Tuesday,Evening,1.4004151813715973
15.7,-73.97336,40.786952,-73.97281,40.743548,1,2010,4,1,Thursday,Midday,2.999249703852447
9.0,-73.970164,40.765016,-73.962801,40.77478,1,2014,4,2,Wednesday,Midday,0.7769426951926008
4.9,-73.987139,40.753038,-73.97779399999999,40.751834,1,2011,2,1,Tuesday,Afternoon,0.4961787946937751
5.4,-73.994222,40.751228999999995,-73.99833100000001,40.744342,1,2009,1,10,Saturday,Night,0.5222294416655404
3.3,-73.982371,40.765501,-73.985248,40.762808,1,2012,7,12,Thursday,Late Night,0.23936614107758888
8.9,-73.977137,40.779272,-73.970457,40.757971999999995,1,2009,2,19,Thursday,Morning,1.5127237795858317
17.0,-73.9939,40.751714,-73.958575,40.76039,1,2014,1,16,Thursday,Midday,1.9437100514117276
12.0,-73.97952270507811,40.72731018066406,-73.98487854003906,40.760650634765625,1,2015,1,4,Sunday,Morning,2.3207443078935928
13.5,-73.96204300000001,40.805372,-73.988447,40.770140000000005,1,2013,5,23,Thursday,Midday,2.7990485988915066
7.7,-73.983052,40.776055,-73.97409300000001,40.763797,1,2009,10,3,Saturday,Evening,0.9680930693554269
13.3,-73.9859,40.7277,-73.9825,40.7719,1,2011,8,15,Monday,Midday,3.059294606049071
14.9,-73.997385,40.720822,-73.955628,40.782252,1,2012,5,25,Friday,Late Night,4.774380909954824
7.5,-73.937809,40.850558,-73.94445400000001,40.834959000000005,1,2012,12,9,Sunday,Late Night,1.1324405585639568
16.9,-73.986593,40.759143,-74.001767,40.72012,1,2009,4,9,Thursday,Midday,2.810987458787171
11.0,-73.958903,40.815239,-73.980862,40.78261,1,2014,11,13,Thursday,Evening,2.5303115436520742
6.5,-73.990305,40.756175,-74.00367800000001,40.759173,1,2010,3,5,Friday,Night,0.7299524073011604
6.5,-73.968111,40.765625,-73.980863,40.759159999999994,1,2009,1,9,Friday,Midday,0.8030973450702339
5.3,-73.98973000000001,40.734507,-74.001847,40.740387,1,2009,7,10,Friday,Late Night,0.7533470831701452
4.1,-73.954332,40.77406,-73.952558,40.766325,2,2009,2,2,Monday,Afternoon,0.5424721531235775
9.0,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1,2015,6,17,Wednesday,Afternoon,1.3096035785972358
17.3,-73.975307,40.757499,-74.010737,40.711715000000005,3,2011,10,30,Sunday,Midday,3.667332413586602
6.5,-73.997925,40.749805,-74.003443,40.754337,2,2011,6,22,Wednesday,Morning,0.42601545436393007
13.0,-73.993619,40.749808,-73.992512,40.756546,2,2014,8,22,Friday,Midday,0.46917142095655323
5.5,-73.968242,40.762112,-73.979687,40.765432,1,2013,1,2,Wednesday,Evening,0.6414024166945036
15.5,-73.98994499999999,40.733990000000006,-73.95831,40.780797,1,2012,12,22,Saturday,Afternoon,3.6334529209984088
8.5,-73.99765014648438,40.73622131347656,-73.9818115234375,40.76134872436523,2,2015,2,16,Monday,Midday,1.9240456784219173
7.5,-73.99793299999999,40.756223,-73.98152900000001,40.742386,1,2013,2,1,Friday,Evening,1.2851008654774818
6.9,-73.94945799999999,40.773348,-73.964993,40.76659,5,2009,5,20,Wednesday,Midday,0.9375179242944038
4.1,-73.99455400000001,40.721011,-73.989079,40.722964000000005,2,2012,6,28,Thursday,Evening,0.31688497994765924
5.7,-73.99096800000001,40.72757,-73.99136999999999,40.74472,1,2011,12,10,Saturday,Late Night,1.185210483380225
12.0,-74.010142,40.719717,-74.013625,40.702315000000006,1,2014,4,15,Tuesday,Morning,1.2161959566529135
11.3,-73.98149599999999,40.768334,-73.95610400000001,40.804763,1,2012,4,5,Thursday,Evening,2.846193489799405
9.7,-73.94984000000001,40.796042,-73.962738,40.759112,3,2010,4,25,Sunday,Evening,2.6395092675051735
4.9,-73.98698900000001,40.7208,-73.976607,40.722857,1,2012,5,2,Wednesday,Evening,0.5619571493722154
11.0,-73.96671295166014,40.80403518676758,-73.93840026855469,40.79726791381836,1,2015,5,28,Thursday,Midday,1.5529928366982078
3.5,-73.97534942626955,40.75249099731445,-73.97386169433594,40.7488899230957,2,2015,5,21,Thursday,Late Night,0.2607274387997265
8.1,-73.982543,40.731653,-73.954875,40.768787,5,2010,10,16,Saturday,Evening,2.946398734771214
5.3,-73.971503,40.760135,-73.961437,40.768975,1,2012,4,5,Thursday,Evening,0.8066108491477622
4.5,-73.98192,40.761171999999995,-74.016152,40.704765,1,2010,9,22,Wednesday,Midday,4.289959953450257
7.3,-74.008325,40.725947,-73.988232,40.720322,1,2010,1,23,Saturday,Late Night,1.1217022130518788
6.5,-73.99260500000001,40.733957,-73.980698,40.742135,1,2013,2,15,Friday,Evening,0.841389645080179
5.3,-73.986465,40.755052,-73.996115,40.744817,3,2012,8,12,Sunday,Evening,0.8690893371313874
9.3,-73.95770999999999,40.765555,-73.97005899999999,40.762758000000005,1,2010,3,12,Friday,Midday,0.6745607218714976
3.7,-73.97645899999999,40.744077,-73.983699,40.734203,1,2009,4,14,Tuesday,Midday,0.780492043808049
4.0,-73.950582,40.786452,-73.9575,40.776686,1,2014,4,27,Sunday,Midday,0.7657528334524107
9.5,-73.97843170166014,40.75239944458008,-74.00042724609375,40.74211883544922,1,2015,4,11,Saturday,Morning,1.3529215183538124
4.5,-73.990055,40.756413,-73.983047,40.756727000000005,3,2011,10,3,Monday,Evening,0.3674450196686261
3.3,-73.982326,40.731314000000005,-73.989649,40.734398,1,2010,4,26,Monday,Late Night,0.4386653404658986
