feature,variance,mean_diff_between_classes,std
PhysHlth,76.0026749942765,4.313396571186114,8.717951307175127
BMI,43.6748390476974,4.138240578978543,6.608694201406008
Age,9.328262460492322,1.5649881025163692,3.0542204341684838
MentHlth,54.95029614130652,1.48377249010783,7.412846696196173
Income,4.289652241272433,0.9803797331330841,2.0711475662715184
GenHlth,1.141643873705667,0.9057955084589686,1.0684773622803934
HighBP,0.24496012235814132,0.376071666346679,0.4949344626899013
Education,0.9717507255315295,0.3542808833406452,0.9857741757276509
HighChol,0.24424333101899628,0.2858217229927551,0.49420980465688485
DiffWalk,0.13992506916280562,0.2358545604335165,0.374065594732803
HeartDiseaseorAttack,0.08531499943830688,0.14953144186060818,0.29208731475075544
PhysActivity,0.18418606781033517,0.14640455684412146,0.42916904339704554
Smoker,0.24677116005828273,0.08720135219688685,0.49676066677856323
Veggies,0.15301824964758384,0.06391765934117055,0.3911754716844908
Stroke,0.03892496165812113,0.06028652678989981,0.19729409940016232
Fruits,0.23197630661819582,0.05671727625840195,0.48163918717043347
Sex,0.24644191399453935,0.045056369114189976,0.4964291631185051
HvyAlcoholConsump,0.05303891396834271,0.03794505033073274,0.2303017888952292
CholCheck,0.035937070909652806,0.03545178952160588,0.1895707543627255
NoDocbcCost,0.07709146653849518,0.025202305254473964,0.277653500857625
AnyHealthcare,0.04655181934888377,0.010127764224294067,0.2157587063107391
