feature,association_type,value,abs_value
trip_distance,pearson_corr,0.7941273787116914,0.7941273787116914
year,pearson_corr,0.13816788048180784,0.13816788048180784
pickup_latitude,pearson_corr,-0.0461485295287255,0.0461485295287255
pickup_longitude,pearson_corr,-0.04449315190611984,0.04449315190611984
month,eta_corr_ratio,0.039710376473090725,0.039710376473090725
day_of_week,eta_corr_ratio,0.029028515307385972,0.029028515307385972
dropoff_latitude,pearson_corr,-0.021339232969409514,0.021339232969409514
dropoff_longitude,pearson_corr,-0.021091332293322253,0.021091332293322253
time_bin,eta_corr_ratio,0.01866152220488675,0.01866152220488675
passenger_count,pearson_corr,0.018274483328905803,0.018274483328905803
day,eta_corr_ratio,0.015020491279709988,0.015020491279709988
